iter	Passed	Remaining
253	593	1041
254	595	1038
255	597	1036
256	599	1033
257	601	1030
258	603	1027
259	605	1025
260	607	1022
261	609	1019
262	611	1016
263	613	1013
264	615	1010
265	617	1007
266	620	1006
267	623	1004
268	626	1003
269	629	1002
270	632	1000
271	638	1005
272	642	1004
273	645	1004
274	648	1002
275	651	1001
276	654	999
277	657	997
278	659	995
279	661	992
280	664	990
281	667	989
282	669	986
283	672	984
284	674	982
285	676	979
286	679	977
287	682	975
288	684	973
289	687	971
290	689	968
291	691	966
292	694	964
293	697	962
294	699	960
295	701	958
296	704	955
297	706	953
298	708	950
299	710	947
300	712	945
301	714	942
302	716	939
303	718	936
304	720	933
305	722	930
306	725	928
307	728	927
308	731	925
309	734	923
310	736	920
311	738	918
312	741	916
313	743	914
314	745	911
315	747	908
316	750	906
317	752	903
318	754	900
319	756	898
320	758	895
321	760	892
322	762	889
323	764	887
324	766	884
325	768	881
326	771	879
327	773	877
328	775	874
329	777	871
330	779	869
331	781	866
332	783	863
333	787	862
334	790	861
335	793	859
336	795	856
337	797	854
338	800	852
339	804	851
340	807	849
341	809	847
342	811	844
343	813	841
344	815	839
345	817	836
346	819	834
347	821	831
348	823	828
349	825	825
350	827	822
351	830	820
352	832	818
353	834	815
354	836	812
355	838	810
356	840	807
357	842	804
358	844	802
359	846	799
360	848	796
361	850	794
362	852	791
363	854	788
364	856	786
365	858	783
366	861	781
367	863	779
368	865	776
369	867	774
370	869	771
371	871	768
372	874	766
373	876	763
374	878	761
375	880	758
376	882	755
377	884	753
378	886	750
379	888	748
380	890	745
381	893	743
382	895	741
383	897	738
384	899	736
385	902	733
386	904	731
387	906	729
388	908	726
389	910	723
390	912	721
391	914	718
392	916	716
393	919	714
394	922	712
395	924	709
396	927	707
397	929	705
398	931	702
399	933	700
400	935	697
401	937	695
402	939	692
403	941	689
404	943	687
405	945	684
406	948	682
407	950	680
408	952	677
409	954	674
410	956	672
411	958	669
412	960	667
413	962	664
414	964	662
415	966	660
416	968	657
417	970	655
418	973	652
419	975	650
420	977	647
421	979	645
422	982	643
423	984	640
424	986	638
425	988	635
426	990	633
427	992	630
428	995	628
429	997	626
430	999	623
431	1001	621
432	1003	618
433	1005	616
434	1007	613
435	1009	611
436	1011	609
437	1013	606
438	1015	604
439	1018	601
440	1020	599
441	1022	596
442	1024	594
443	1026	591
444	1028	589
445	1030	586
446	1032	584
447	1034	581
448	1036	579
449	1038	576
450	1040	574
451	1042	571
452	1044	569
453	1046	567
454	1048	564
455	1050	562
456	1052	559
457	1054	557
458	1057	555
459	1059	552
460	1061	550
461	1064	548
462	1066	545
463	1069	544
464	1072	541
465	1074	539
466	1076	537
467	1078	534
468	1081	532
469	1083	530
470	1085	527
471	1087	525
472	1089	522
473	1091	520
474	1093	517
475	1095	515
476	1097	513
477	1099	510
478	1101	508
479	1103	505
480	1105	503
481	1108	501
482	1110	498
483	1112	496
484	1115	494
485	1118	492
486	1120	490
487	1122	487
488	1124	485
489	1126	482
490	1128	480
491	1130	478
492	1133	475
493	1135	473
494	1137	470
495	1139	468
496	1141	466
497	1143	463
498	1145	461
499	1147	459
500	1149	456
501	1151	454
502	1153	451
503	1155	449
504	1157	447
505	1159	444
506	1162	442
507	1164	439
508	1165	437
509	1167	435
510	1169	432
511	1171	430
512	1173	427
513	1175	425
514	1177	423
515	1179	420
516	1181	418
517	1183	415
518	1185	413
519	1188	411
520	1190	408
521	1192	406
522	1194	404
523	1196	401
524	1198	399
525	1200	397
526	1202	394
527	1204	392
528	1206	390
529	1209	387
530	1211	385
531	1213	383
532	1215	380
533	1217	378
534	1219	376
535	1221	373
536	1223	371
537	1225	369
538	1227	366
539	1229	364
540	1232	362
541	1234	359
542	1236	357
543	1238	355
544	1240	352
545	1242	350
546	1244	348
547	1246	345
548	1249	343
549	1251	341
550	1253	339
551	1256	336
552	1259	334
553	1261	332
554	1263	330
555	1265	327
556	1267	325
557	1269	323
558	1271	320
559	1273	318
560	1275	316
561	1278	313
562	1280	311
563	1282	309
564	1284	306
565	1286	304
566	1288	302
567	1289	299
568	1292	297
569	1294	295
570	1297	293
571	1299	290
572	1301	288
573	1303	286
574	1305	283
575	1308	281
576	1310	279
577	1312	277
578	1314	274
579	1316	272
580	1318	270
581	1321	267
582	1324	265
583	1327	263
584	1329	261
585	1331	259
586	1333	256
587	1335	254
588	1338	252
589	1340	249
590	1342	247
591	1344	245
592	1345	242
593	1348	240
594	1350	238
595	1352	236
596	1354	233
597	1356	231
598	1358	229
599	1360	226
600	1362	224
601	1364	222
602	1367	219
603	1369	217
604	1371	215
605	1373	213
606	1375	210
607	1377	208
608	1379	206
609	1381	203
610	1384	201
611	1387	199
612	1389	197
613	1391	194
614	1393	192
615	1395	190
616	1397	187
617	1399	185
618	1401	183
619	1403	181
620	1405	178
621	1407	176
622	1409	174
623	1411	171
624	1413	169
625	1415	167
626	1417	165
627	1420	162
628	1422	160
629	1424	158
630	1425	155
631	1428	153
632	1430	151
633	1432	149
634	1434	146
635	1437	144
636	1439	142
637	1441	140
638	1444	137
639	1446	135
640	1448	133
641	1450	131
642	1452	128
643	1454	126
644	1456	124
645	1458	121
646	1460	119
647	1462	117
648	1464	115
649	1466	112
650	1468	110
651	1470	108
652	1473	106
653	1475	103
654	1477	101
655	1479	99
656	1481	96
657	1483	94
658	1485	92
659	1486	90
660	1489	87
661	1491	85
662	1493	83
663	1495	81
664	1497	78
665	1499	76
666	1501	74
667	1504	72
668	1507	69
669	1509	67
670	1511	65
671	1512	63
672	1513	60
673	1515	58
674	1516	56
675	1518	53
676	1519	51
677	1521	49
678	1522	47
679	1523	44
680	1525	42
681	1526	40
682	1528	38
683	1529	35
684	1530	33
685	1532	31
686	1533	29
687	1535	26
688	1536	24
689	1538	22
690	1539	20
691	1540	17
692	1542	15
693	1543	13
694	1544	11
695	1546	8
696	1547	6
697	1549	4
698	1550	2
699	1552	0
