iter	RMSE
284	14630.13381
285	14606.14951
286	14588.57986
287	14562.83844
288	14545.92452
289	14523.85403
290	14513.157
291	14491.89001
292	14463.10761
293	14440.88693
294	14424.12823
295	14414.44935
296	14377.20067
297	14355.09864
298	14331.9
299	14316.49704
300	14291.4341
301	14277.84134
302	14255.45159
303	14238.05252
304	14214.08054
305	14187.72771
306	14174.24722
307	14172.48589
308	14149.54048
309	14136.44924
310	14112.97766
311	14086.71404
312	14051.13438
313	14042.46015
314	14018.48657
315	13986.62892
316	13970.1995
317	13958.53412
318	13938.7076
319	13924.39061
320	13892.86587
321	13886.77896
322	13857.4326
323	13832.1951
324	13815.59062
325	13788.76314
326	13767.41842
327	13756.50732
328	13737.56365
329	13722.7183
330	13695.97046
331	13674.24326
332	13629.73259
333	13617.26948
334	13595.79819
335	13594.37876
336	13585.09361
337	13569.77314
338	13544.78639
339	13528.72455
340	13507.1418
341	13491.36791
342	13490.09014
343	13488.77629
344	13479.1075
345	13450.46673
346	13419.18582
347	13407.6821
348	13406.56108
349	13388.19081
350	13375.80982
351	13356.87624
352	13343.28143
353	13324.81731
354	13300.28882
355	13275.0202
356	13259.60667
357	13245.78139
358	13244.75075
359	13227.5281
360	13198.8393
361	13172.6203
362	13154.67249
363	13133.04534
364	13130.10052
365	13114.29203
366	13113.32133
367	13084.81962
368	13066.27832
369	13049.53497
370	13032.5209
371	13016.12843
372	13000.71665
373	12980.68153
374	12965.72091
375	12964.67126
376	12947.37463
377	12928.12687
378	12913.06818
379	12912.19218
380	12884.37793
381	12870.18806
382	12852.88527
383	12833.81887
384	12824.45354
385	12796.72215
386	12767.3641
387	12741.36283
388	12726.33403
389	12710.25314
390	12686.64097
391	12674.01771
392	12671.27247
393	12646.33353
394	12627.77723
395	12608.27407
396	12589.51954
397	12562.9262
398	12546.23661
399	12535.01684
400	12534.21039
401	12513.19857
402	12498.12984
403	12484.10031
404	12468.458
405	12449.05664
406	12421.71663
407	12410.69219
408	12381.42745
409	12380.66024
410	12378.21176
411	12364.30994
412	12354.87011
413	12343.29598
414	12317.75511
415	12297.66797
416	12296.94772
417	12278.76883
418	12263.37724
419	12237.94018
420	12212.056
421	12202.12415
422	12185.72379
423	12173.38776
424	12161.82282
425	12161.15315
426	12145.4804
427	12135.95986
428	12126.61706
429	12107.90794
430	12090.38149
431	12080.67396
432	12069.1042
433	12054.11154
434	12053.22127
435	12034.33821
436	12018.92005
437	12001.73508
438	11999.49028
439	11984.24598
440	11981.16623
441	11971.34562
442	11958.2658
443	11943.62773
444	11943.01412
445	11926.58724
446	11908.6215
447	11907.9534
448	11891.46523
449	11884.98624
450	11869.55868
451	11854.50411
452	11835.01666
453	11818.74364
454	11818.05483
455	11796.76744
456	11778.0305
457	11765.27158
458	11743.67633
459	11734.16079
460	11713.53763
461	11684.84256
462	11671.60045
463	11652.8472
464	11631.64402
465	11630.8373
466	11630.22406
467	11615.9786
468	11599.37803
469	11583.38662
470	11570.44888
471	11569.92064
472	11557.24119
473	11535.43288
474	11512.41294
475	11494.68968
476	11478.22545
477	11456.85147
478	11444.39373
479	11427.01225
480	11405.60647
481	11390.1012
482	11375.42312
483	11362.94597
484	11351.58982
485	11340.67145
486	11321.4355
487	11302.63523
488	11286.63902
489	11275.55966
490	11248.97624
491	11238.43591
492	11221.32945
493	11206.39487
494	11187.00492
495	11176.08126
496	11155.52338
497	11143.24006
498	11140.81278
499	11134.03204
500	11120.50421
501	11109.27867
502	11093.52012
503	11087.54848
504	11069.10845
505	11056.68644
506	11047.06951
507	11037.71725
508	11037.22145
509	11022.93732
510	11014.071
511	11013.51046
512	10999.76441
513	10989.10184
514	10983.76369
515	10957.64156
516	10956.8053
517	10939.42245
518	10924.9983
519	10908.58726
520	10898.42279
521	10884.3727
522	10865.33368
523	10849.12202
524	10835.04976
525	10821.97281
526	10809.48446
527	10783.40919
528	10776.92981
529	10759.609
530	10749.14779
531	10736.05034
532	10719.00625
533	10709.48214
534	10691.5039
535	10680.22111
536	10674.5567
537	10653.11406
538	10643.04235
539	10629.01554
540	10615.32223
541	10610.47334
542	10588.65517
543	10576.99372
544	10561.26311
545	10550.37813
546	10535.70233
547	10518.56972
548	10499.20136
549	10487.27338
550	10486.0984
551	10479.80728
552	10469.72487
553	10464.55138
554	10447.60765
555	10436.63515
556	10427.4458
557	10409.15694
558	10408.72169
559	10394.97249
560	10394.0925
561	10374.24556
562	10361.32883
563	10348.36015
564	10334.23274
565	10327.03272
566	10319.86313
567	10318.48985
568	10306.61994
569	10290.28344
570	10281.13442
571	10258.02358
572	10252.11822
573	10237.94625
574	10227.80175
575	10219.83415
576	10214.5405
577	10204.48914
578	10198.42686
579	10188.12742
580	10180.02838
581	10169.89106
582	10157.57078
583	10152.66561
584	10145.2105
585	10134.71269
586	10115.37593
587	10102.30738
588	10092.2564
589	10082.94619
590	10066.00066
591	10057.23433
592	10053.43668
593	10052.89993
594	10044.38453
595	10027.12984
596	10016.03864
597	10003.67004
598	9994.437195
599	9981.058251
600	9968.235268
601	9947.34106
602	9937.997791
603	9922.690082
604	9913.784542
605	9906.968982
606	9897.945306
607	9889.7446
608	9879.906906
609	9860.029701
610	9846.910194
611	9836.480423
612	9835.992147
613	9819.284879
614	9808.736701
615	9800.980758
616	9781.813041
617	9772.742182
618	9763.895717
619	9750.766346
620	9733.362977
621	9720.896676
622	9713.218584
623	9706.15758
624	9704.85951
625	9700.651663
626	9687.453111
627	9677.908098
628	9668.256299
629	9654.431599
630	9653.486096
631	9653.046918
632	9640.911082
633	9623.300072
634	9614.939398
635	9610.332985
636	9594.982249
637	9577.694615
638	9569.373224
639	9557.810239
640	9543.378179
641	9529.41853
642	9520.095328
643	9513.633818
644	9501.421057
645	9490.086343
646	9481.457723
647	9480.988689
648	9474.272108
649	9472.283102
650	9459.73778
651	9448.929163
652	9439.495828
653	9421.495773
654	9417.691637
655	9407.002947
656	9406.74803
657	9403.039626
658	9382.277744
659	9370.820858
660	9362.502766
661	9352.26872
662	9338.961198
663	9331.262515
664	9306.866689
665	9294.604805
666	9286.35347
667	9279.176126
668	9271.381135
669	9260.797207
670	9250.460835
671	9246.955601
672	9232.283736
673	9222.941856
674	9222.619665
675	9217.77686
676	9210.298093
677	9193.562813
678	9181.052706
679	9169.528868
680	9156.425733
681	9142.649061
682	9129.675334
683	9125.6101
684	9116.821587
685	9105.36624
686	9101.377258
687	9080.160174
688	9079.915955
689	9070.857332
690	9070.565565
691	9052.970433
692	9044.434915
693	9032.459456
694	9019.513511
695	9013.316793
696	9001.493315
697	8989.454559
698	8980.423605
699	8971.947705
